Difference Pair,Mean,Median,Variance,Standard Deviation,Min,Max
p1-p2,-0.4699141626574695,-0.3905525207519531,0.23831688159971198,0.48817710065068803,-17.735733032226562,11.489395141601562
p1-p3,-0.4600154222921666,-0.38270092010498047,0.2421939100818265,0.49213200473229385,-19.972930908203125,9.946670532226562
p1-p4,-0.4091568390170381,-0.31549644470214844,0.2578389184216372,0.5077784146866005,-45.11721801757818,2.619720458984375
p1-p5,-0.07014515184324767,-0.045482635498046875,0.143946991111371,0.37940346744774356,-17.51253509521483,7.5010833740234375
p1-np,0.18214141909366285,0.06558895111083984,140.3283118277842,11.84602514887522,-397.3120937347412,423.4612197875977
p2-p3,0.009898740365302892,0.004141807556152344,0.016424307656421683,0.12815735506174308,-7.1513214111328125,5.300140380859375
p2-p4,0.06075732364043137,0.07756423950196023,0.25277942582725477,0.5027717432665193,-49.408203125,11.88580322265625
p2-p5,0.3997690108142218,0.3320493698120117,0.3072523978450155,0.5543035250158667,-19.894607543945312,22.164688110351562
p2-np,0.6520555817511323,0.5071897506713832,142.8021603623904,11.949985789212906,-397.1686658859253,429.0786819458008
p3-p4,0.05085858327512848,0.07042789459228516,0.2611117461370086,0.5109909452593153,-50.16879272460943,12.753219604492188
p3-p5,0.3898702704489189,0.32660865783691406,0.3056155536869635,0.5528250660805492,-22.223892211914062,24.401885986328125
p3-np,0.6421568413858294,0.4970836639404297,142.70732499729402,11.946017118575297,-397.115873336792,434.1252212524414
p4-p5,0.33901168717379043,0.2621803283691406,0.32833325331271523,0.5730037114301401,-12.84124755859375,33.96545410156256
p4-np,0.5912982581107009,0.4187297821044922,144.69573522123557,12.028954036874344,-396.7677822113037,425.92321777343756
p5-np,0.25228657093691054,0.12698745727539062,141.2909955172736,11.88658889325586,-397.4011859893799,425.9829483032227
